release_date,title,lyrics
2018,"​thank u, next"," Thought I'd end up with Sean But he wasn't a match Wrote some songs about Ricky Now I listen and laugh Even almost got married And for Pete, I'm so thankful Wish I could say, ""Thank you"" to Malcolm 'Cause he was an angel   One taught me love One taught me patience And one taught me pain Now, I'm so amazing Say I've loved and I've lost But that's not what I see So, look what I got Look what you taught me And for that, I say   Thank you, next  Thank you, next  Thank you, next I'm so fuckin' grateful for my ex Thank you, next  Thank you, next  Thank you, next  I'm so fuckin'—   Spend more time with my friends I ain't worried 'bout nothin' Plus, I met someone else We havin' better discussions I know they say I move on too fast But this one gon' last 'Cause her name is Ari And I'm so good with that    She taught me love  She taught me patience  How she handles pain  That shit's amazing  I've loved and I've lost  But that's not what I see  'Cause look what I've found  Ain't no need for searching, and for that, I say   Thank you, next  Thank you, next  Thank you, next  I'm so fuckin' grateful for my ex Thank you, next  Thank you, next  Thank you, next  I'm so fuckin' grateful for my ex   Thank you, next Thank you, next Thank you, next I'm so fuckin'—   One day I'll walk down the aisle Holding hands with my mama I'll be thanking my dad 'Cause she grew from the drama Only wanna do it once, real bad Gon' make that shit last God forbid something happens Least this song is a smash    I've got so much love  Got so much patience  And I've learned from the pain  I turned out amazing  Say I've loved and I've lost  But that's not what I see  'Cause look what I've found  Ain't no need for searching And for that, I say   Thank you, next  Thank you, next  Thank you, next I'm so fuckin' grateful for my ex Thank you, next  Thank you, next  Thank you, next  I'm so fuckin' grateful for my ex   Thank you, next Thank you, next Thank you, next Yeah, yee Thank you, next Thank you, next Thank you, next Yeah, yee"
2018,7 rings," Yeah, breakfast at Tiffany's and bottles of bubbles Girls with tattoos who like getting in trouble Lashes and diamonds, ATM machines Buy myself all of my favorite things  Been through some bad shit, I should be a sad bitch Who woulda thought it'd turn me to a savage? Rather be tied up with calls and not strings Write my own checks like I write what I sing, yeah    My wrist, stop watchin', my neck is flossy Make big deposits, my gloss is poppin' You like my hair? Gee, thanks, just bought it I see it, I like it, I want it, I got it    I want it, I got it, I want it, I got it I want it, I got it, I want it, I got it You like my hair? Gee, thanks, just bought it I see it, I like it, I want it, I got it    Wearing a ring, but ain't gon' be no ""Mrs."" Bought matching diamonds for six of my bitches I'd rather spoil all my friends with my riches Think retail therapy my new addiction Whoever said money can't solve your problems Must not have had enough money to solve 'em They say, ""Which one?"" I say, ""Nah, I want all of 'em"" Happiness is the same price as red-bottoms   My smile is beamin' , my skin is gleamin'  The way it shine, I know you've seen it  I bought a crib just for  the closet  Both his and hers, I want it, I got it, yeah   I want it, I got it, I want it, I got it I want it, I got it, I want it, I got it  You like my hair? Gee, thanks, just bought it  I see it, I like it, I want it, I got it    Yeah, my receipts be lookin' like phone numbers If it ain't money, then wrong number Black card is my business card The way it be settin' the tone for me I don't mean to brag, but I be like, ""Put it in the bag,"" yeah When you see them racks, they stacked up like my ass, yeah Shoot, go from the store to the booth Make it all back in one loop, gimme the loot Never mind, I got the juice Nothing but net when we shoot Look at my neck, look at my jet Ain't got enough money to pay me respect Ain't no budget when I'm on the set If I like it, then that's what I get, yeah   I want it, I got it, I want it, I got it  I want it, I got it, I want it, I got it  You like my hair? Gee, thanks, just bought it I see it, I like it, I want it, I got it "
2018,​God is a woman," You, you love it how I move you You love it how I touch you, my one When all is said and done You'll believe God is a woman And I, I feel it after midnight A feelin' that you can't fight, my one It lingers when we're done You'll believe God is a woman   I don't wanna waste no time, yeah You ain't got a one-track mind, yeah Have it any way you like, yeah And I can tell that you know I know how I want it Ain't nobody else can relate Boy, I like that you ain't afraid Baby, lay me down and let's pray I'm tellin' you the way I like it, how I want it    And I can be all the things you told me not to be  When you try to come for me, I keep on flourishing  And he see the universe when I'm the company It's all in me   You, you love it how I move you You love it how I touch you, my one When all is said and done You'll believe God is a woman And I, I feel it after midnight A feelin' that you can't fight, my one It lingers when we're done You'll believe God is a woman    I tell you all the things you should know So baby, take my hands, save your soul We can make it last, take it slow, hmm And I can tell that you know I know how I want it, yeah But you're different from the rest And boy, if you confess, you might get blessed See if you deserve what comes next I'm tellin' you the way I like it, how I want it    And I can be all the things you told me not to be  When you try to come for me, I keep on flourishing  And he see the universe when I'm the company It's all in me   You, you love it how I move you You love it how I touch you, my one When all is said and done You'll believe God is a woman And I, I feel it after midnight A feelin' that you can't fight, my one It lingers when we're done You'll believe God is a woman   Yeah, yeah  Yeah, yeah  My one  When all is said and done You'll believe God is a woman You'll believe God  Oh, yeah   It lingers when we're done You'll believe God is a woman"
2018,Side To Side," I've been here all night  I've been here all day  And boy, you got me walkin' side to side    I'm talkin' to ya See you standing over there with your body Feeling like I wanna rock with your body And we don't gotta think 'bout nothin'  I'm comin' at ya 'Cause I know you got a bad reputation Doesn't matter, 'cause you give me temptation And we don't gotta think 'bout nothin'    These friends keep talkin' way too much Say I should give you up Can't hear them, no, 'cause I…   I've been here all night I've been here all day And boy, you got me walkin' side to side I've been here all night I've been here all day And boy, you got me walkin' side to side    Been tryna hide it Baby, what's it gonna hurt if they don't know? Makin' everybody think that we solo Just as long as you know you got me  And boy, I got ya 'Cause tonight I'm making deals with the devil And I know it's gonna get me in trouble Just as long as you know you got me   These friends keep talkin' way too much Say I should give you up Can't hear them, no, 'cause I…   I've been here all night I've been here all day And boy, you got me walkin' side to side  I've been here all night  I've been here all day  And boy, you got me walkin' side to side    Uh, yeah This the new style with the fresh type of flow Wrist icicle, ride dick bicycle Come through yo, get you this type of blow If you wanna Minaj, I got a tricycle   All these bitches' flows is my mini-me Body smoking, so they call me Young Nicki Chimney Rappers in they feelings 'cause they feelin' me Uh, I-I give zero fucks and I got zero chill in me Kissing me, copped the blue box that say Tiffany Curry with the shot, just tell 'em to call me Stephanie Gun pop, then I make my gum pop I'm the queen of rap, young Ariana run pop, uh   These friends keep talkin' way too much  Say I should give him up  Can't hear them, no, 'cause I…   I've been here all night  I've been here all day  And boy , you got me walkin' side to side  I've been here all night  I've been here all day   And boy , you got me walkin' side to side     This the new style with the fresh type of flow  Wrist icicle, ride dick bicycle Come through yo, get you this type of blow If you wanna Minaj, I got a tricycle "
2018,​​no tears left to cry," Right now, I'm in a state of mind I wanna be in like all the time Ain't got no tears left to cry So I'm pickin' it up, pickin' it up I'm lovin', I'm livin', I'm pickin' it up I'm pickin' it up, pickin' it up I'm lovin', I'm livin', I'm pickin' it up    I'm pickin' it up , pickin' it up  Lovin', I'm livin', so we turnin' up Yeah, we turnin' it up   Ain't got no tears in my body I ran out, but boy, I like it, I like it, I like it Don't matter how, what, where, who tries it We out here vibin', we vibin', we vibin'   Comin' out, even when it's rainin' down Can't stop now, can't stop so shut your mouth Shut your mouth, and if you don't know Then now you know it, babe Know it, babe, yeah   Right now, I'm in a state of mind I wanna be in like all the time Ain't got no tears left to cry So I'm pickin' it up, pickin' it up  I'm lovin', I'm livin', I'm pickin' it up Oh, I just want you to come with me We're on another mentality Ain't got no tears left to cry  So I'm pickin' it up, pickin' it up  I'm lovin', I'm livin', I'm pickin' it up   Pickin' it up , pickin' it up  Lovin', I'm livin', so we turnin' up  Yeah, we turnin' it up   They point out the colors in you, I see 'em too And, boy, I like 'em, I like 'em, I like 'em We're way too fly to partake in all this hate We out here vibin', we vibin', we vibin'   Comin' out, even when it's rainin' down Can't stop now, can't stop, so shut your mouth Shut your mouth, and if you don't know Then now you know it, babe Know it, babe, yeah   Right now, I'm in a state of mind I wanna be in like all the time Ain't got no tears left to cry So I'm pickin' it up, pickin' it up  I'm lovin', I'm livin', I'm pickin' it up Oh, I just want you to come with me We're on another mentality Ain't got no tears left to cry  So I'm pickin' it up, pickin' it up  I'm lovin', I'm livin', I'm pickin' it up   Comin' out, even when it's rainin' down Can't stop now  Shut your mouth Ain't got no tears left to cry Oh-yeah, oh, yeah   Oh, I just want you to come with me  We're on another mentality Ain't got no tears left to cry  So I'm pickin' it up, pickin' it up  I'm lovin', I'm livin', I'm pickin' it up   Pickin' it up, pickin' it up Lovin', I'm livin', so we turnin' up Yeah, we turnin' it up"
2018,​​breathin," Lacigam gnihtemos od ot Thgin laiceps ruoy s'thginot tub   Some days, things just take Way too much of my energy I look up and the whole room's spinning You take my cares away I can so over-complicate, people tell me to medicate   Feel my blood runnin', swear the sky's fallin' I know that all this shit's fabricated Time goes by and I can't control my mind Don't know what else to try, but you tell me every time   Just keep breathin' and breathin' and breathin' and breathin' And oh, I gotta keep, keep on breathin' Just keep breathin' and breathin' and breathin' and breathin' And oh, I gotta keep, keep on breathin'   Sometimes it's hard to find Find my way up into the clouds Tune it out, they can be so loud You remind me of a time When things weren't so complicated All I need is to see your face   Feel my blood runnin', swear the sky's fallin' I know that all this shit's fabricated Time goes by and I can't control my mind Don't know what else to try, but you tell me every time   Just keep breathin' and breathin' and breathin' and breathin' And oh, I gotta keep, I keep on breathin' Just keep breathin' and breathin' and breathin' and breathin' And oh, I gotta keep, I keep on breathin', mmm, yeah   My, my air, my, my air My, my air, my air My, my air, my, my air My, my air, yeah   Just keep breathin' and breathin' and breathin' and breathin' And oh, I gotta keep, I keep on breathin' Just keep breathin' and breathin' and breathin' and breathin' And oh, I gotta keep, I keep on breathin', mmm, yeah   Feel my blood runnin', swear the sky's fallin' I keep on breathin', oh yeah Time goes by and I can't control my mind I keep on breathin', mmm, yeah"
2018,"​break up with your girlfriend, i’m bored"," You got me some type of way  Ain't used to feelin' this way  I do not know what to say  But I know I shouldn't think about it Took one fuckin' look at your face  Now I wanna know how you taste  Usually don't give it away  But you know I'm out here thinkin' 'bout it   Then I realize she's right there And I'm at home like, ""Damn, this ain't fair""   Break up with your girlfriend  Yeah, yeah, 'cause I'm bored You could hit it in the mornin'  Yeah, yeah, like it's yours I know it ain't right But I don't care  Break up with your girlfriend  Yeah, yeah, 'cause I'm bored   This shit always happen to me  Why can't we just play for keeps?  Practically on my knees  But I know I shouldn't think about it You know what you're doin' to me You're singin' my songs in the streets, yeah, yeah Actin' all innocent, please When I know you out here thinkin' 'bout it   Then you realize she's right there  And you're at home like, ""Damn, she can't compare""   Break up with your girlfriend  Yeah, yeah, 'cause I'm bored You could hit it in the mornin'  Yeah, yeah, like it's yours I know it ain't right But I don't care  Break up with your girlfriend  Yeah, yeah, 'cause I'm bored   With your girlfriend, girlfriend, girlfriend, girlfriend With your girlfriend With your girlfriend, girlfriend, girlfriend, girlfriend   You could say I'm hatin' if you want to But I only hate on her 'cause I want you Say I'm trippin' if you feel like But you without me ain't right  You could call me crazy 'cause I want you And I never even ever fuckin' met you Say I'm trippin' and it ain't right But you without me ain't nice    Break up with your girlfriend  Yeah, yeah, 'cause I'm bored You could hit it in the mornin'  Yeah, yeah, like it's yours I know it ain't right But I don't care  Break up with your girlfriend  Yeah, yeah, 'cause I'm bored   With your girlfriend, girlfriend, girlfriend, baby, girlfriend With your girlfriend With your girlfriend, girlfriend, girlfriend, girlfriend With your girlfriend"
2018,​imagine," Step up, the two of us, nobody knows us Get in the car like, ""Skrrt"" Staying up all night, order me pad thai Then we gon' sleep 'til noon Me with no makeup, you in the bathtub Bubbles and bubbly, ooh This is a pleasure, feel like we never act this regular   Click, click, click and post Drip-drip-dripped in gold Quick, quick, quick, let's go Kiss me and take off your clothes   Imagine a world like that Imagine a world like that We go like up 'til I'm 'sleep on your chest Love how my face fits so good in your neck Why can't you imagine a world like that? Imagine a world   Knew you were perfect after the first kiss Took a deep breath like, ""Ooh"" Feels like forever, baby, I never thought that it would be you Tell me your secrets, all of the creep shit That's how I know it's true Baby, direct it, name in the credits Like the movies do   Click, click, click and post Drip-drip-dripped in gold Quick, quick, quick, let's go Kiss me and take off your clothes   Imagine a world like that Imagine a world like that We go like up 'til I'm 'sleep on your chest Love how my face fits so good in your neck Why can't you imagine a world like that? Imagine a world   Can you imagine it? Can you imagine it? Can you imagine it? Can you imagine it? Can you imagine it?  Can you imagine it?  Can you imagine it?  Ooh, imagine it  Imagine it, imagine it Imagine it, imagine it Imagine, imagine Imagine, imagine Imagine, imagine"
2018,​needy," If you take too long to hit me back I can't promise you how I’ll react But all I can say is at least I'll wait for you Lately, I've been on a roller coaster Tryna get a hold of my emotions But all that I know is I need you close   I’ma scream and shout for what I love Passionate, but I don't give no fucks I admit that I'm a lil' messed up But I can hide it when I'm all dressed up I'm obsessive and I love too hard Good at overthinking with my heart How you even think it got this far, this far?   And I can be needy, way too damn needy I can be needy, tell me how good it feels to be needed I can be needy, so hard to please me I know it feels so good to be needed   Sorry if I'm up and down a lot  Sorry that I think I'm not enough And sorry if I say sorry way too much You can go ahead and call me selfish  But after all this damage, I can’t help it  But what you can trust is I need your touch   I’ma scream and shout for what I love Passionate, but I don't give no fucks I admit that I’m a lil' messed up But I can hide it when I'm all dressed up I'm obsessive and I love too hard Good at overthinking with my heart How you even think it got this far, this far?   And I can be needy, way too damn needy I can be needy, tell me how good it feels to be needed I can be needy, so hard to please me I know it feels so good to be needed"
2018,​pete davidson," Mmm, yeah, yuh   I thought you into my life , look at my mind  No better place or a time,  how they align Universe must have my back, fell from the sky into my lap And I know you know that you're my soulmate and all that I’m like ooh, ooh, my whole life got me ready for you, ooh, ooh   Got me happy, happy I'ma be happy, happy, yeah I'ma be happy, happy Won’t get no crying from me, yeah Gonna be happy, happy I'ma be happy, happy I'ma be happy, happy, yeah Gonna be happy, happy I'ma be happy, happy I'ma be happy, happy, yeah Gonna be happy, happy I'ma be happy, happy I'ma be happy, happy"
